filename,prediction,timestamp
images (1).jpg,Normal,2025-11-13 08:21:22
gr1.jpeg,Normal,2025-11-13 08:22:19
images (1).jpg,Pneumonia,2025-11-13 08:22:30
gr1.jpeg,COVID-19,2025-11-13 08:33:49
